song_title,artist,release,track_uri,spotify_id,duration,explicit,popularity,is_popular,album_type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
ハルノヒ,Aimyon,4/3/2019,7GYGVDPbi0zQUBIkuOPAY0,7GYGVDPbi0zQUBIkuOPAY0,326866,FALSE,57,1,single,0.591,0.673,9,-2.445,1,0.0294,0.263,0,0.109,0.525,106.956,4
INDIES COMPLETE,Creepy Nuts,7/25/2018,3Wi7z7mZ8A8g5XLqLADweU,3Wi7z7mZ8A8g5XLqLADweU,239826,FALSE,57,1,album,0.688,0.904,6,-3.726,0,0.257,0.0356,0,0.415,0.846,145.126,4
RADWIMPS 4 ~おかずのごはん~,RADWIMPS,12/6/2006,7BBhAZPkDnJ6mYVua3O1F4,7BBhAZPkDnJ6mYVua3O1F4,248133,FALSE,58,0,album,0.486,0.846,11,-3.975,1,0.0415,0.00386,0,0.0836,0.881,174.917,4
裸の勇者,Vaundy,2/21/2022,2OtLY8mm6sHy3u85zzZg1c,2OtLY8mm6sHy3u85zzZg1c,204893,FALSE,57,1,single,0.398,0.782,4,-4.865,1,0.0448,0.000645,0,0.0223,0.362,165.082,4
Shining One,BE:FIRST,8/16/2021,7DTKSwO1kTAJDu9Q5U73UZ,7DTKSwO1kTAJDu9Q5U73UZ,244106,FALSE,58,0,single,0.716,0.737,7,-5.671,0,0.0851,0.115,0,0.138,0.573,144.986,4
Rockin' the World,SPYAIR,9/21/2011,5G0NPSOTLepHxUhEMlVjWj,5G0NPSOTLepHxUhEMlVjWj,191493,FALSE,60,0,album,0.603,0.961,3,-2.069,1,0.0636,0.00319,6.09E-06,0.0477,0.549,113.02,4
Sympa,King Gnu,1/16/2019,4XkJ7N5iX7UKR1uuwVr7A6,4XkJ7N5iX7UKR1uuwVr7A6,162586,FALSE,57,1,album,0.523,0.965,7,-4.652,0,0.128,0.063,0,0.422,0.558,134.904,4
POP VIRUS,Gen Hoshino,12/19/2018,1flvuaMS27JxpEBL0u2cWc,1flvuaMS27JxpEBL0u2cWc,251266,FALSE,57,1,album,0.598,0.819,9,-2.619,1,0.0911,0.00081,0,0.218,0.878,158.115,4
LET'S GET CRAZY,PRINCESS PRINCESS,1988,6BfUQLZUufrF08faHfiwSl,6BfUQLZUufrF08faHfiwSl,275333,FALSE,57,1,album,0.314,0.482,0,-12.015,1,0.0358,0.106,1.15E-05,0.281,0.394,80.833,4
アイオライト,Awesome City Club,4/19/2023,0xFhmji4aKZzuVqWbA7vqH,0xFhmji4aKZzuVqWbA7vqH,253100,FALSE,57,1,single,0.556,0.648,9,-6.153,1,0.0741,0.223,0,0.0645,0.399,88.072,4
